Street,From,To,Length (feet)
Crescent Street,Elm Street,Roundhill Road,2561
Langworthy Road,Crescent Street,Dead End,685
Hillside Road,Roundhill Road,Bancroft Road,1070
Kingsley Avenue,Pleasant Street,Dead End,469
Randolph Place,Pleasant Street,Dead End,219
Northern Avenue,North Street,Dead End,663
Woodbine Avenue,North Street,Dead End,537
Carpenter Avenue,Finn Street,King Street,475
Summer Street,King Street,Prospect Street,474
Maplewood Terrace,Warner Street,Hinckley Street,1427
Sheffield Lane,Stilson Avenue,North Maple Street,1124
Stilson Avenue,High Street,Dead End,678
Hillcrest Drive,Bridge Road,Sheffield Lane,2120
Rustlewood Ridge,Country Way,Cul de Sac Loop,789
Country Way,North Farms Road,Rustlewood Ridge,1111
Morningside Drive,Country Way,Country Way,1407
Fair Street,Bridge Street,Cross Path Road,1936
Jewett Street,Forbes Avenue,Vernon Street,444
Belmont Avenue,Ahwaga Avenue,West Street,534
Winterberry Lane,Westhampton Road,Cul De Sac Loop,2363
Birch Lane,Winterberry Lane,Cul De Sac Loop,1198
Church Street,State Street,King Street,556
Perkins Avenue,Prospect Street,State Street,770
